,M4,T4,W4,TH4,F4
676,7,6,6,6,6
677,6,6,5,5,5
678,7,7,6,6,6
679,6,6,6,6,6
680,5,5,4,4,4
681,7,7,6,6,6
682,7,6,5,5,5
683,7,7,6,6,6
684,7,7,6,6,6
685,7,6,6,5,5
686,7,6,6,6,5
687,5,5,4,4,4
688,7,6,6,5,5
689,7,7,6,6,6
690,6,6,5,5,5
691,7,7,6,6,6
692,6,6,5,5,4
693,7,7,6,6,6
694,6,6,6,6,6
695,5,5,4,4,4
696,7,7,7,6,6
697,7,6,6,5,5
698,5,5,4,4,4
699,7,7,7,6,6
700,5,5,4,4,4
701,7,7,6,6,6
702,7,6,5,5,5
703,7,7,6,6,6
704,6,6,5,5,5
705,7,7,6,6,6
706,5,5,5,5,5
707,7,7,6,6,5
708,6,6,5,5,5
709,7,7,6,6,6
710,7,6,6,5,5
711,7,7,6,6,6
712,7,6,6,6,6
713,7,6,6,6,5
714,7,7,6,6,6
715,5,5,5,5,5
716,7,6,6,6,6
717,7,6,6,5,5
718,7,7,6,6,6
719,6,6,6,6,6
720,6,6,5,5,5
721,6,6,5,5,4
722,7,7,7,6,6
723,7,7,6,6,6
724,6,6,5,5,5
725,6,6,6,6,6
726,6,6,5,5,5
727,6,6,6,6,6
728,7,7,6,6,6
729,5,5,5,5,5
730,7,7,6,6,6
731,7,6,6,6,5
732,7,7,6,5,5
733,5,5,4,4,4
734,7,7,6,6,6
735,7,7,6,6,6
736,7,7,6,6,6
737,7,6,5,5,5
738,6,6,5,5,5
739,7,7,6,6,5
740,7,6,6,5,5
741,6,6,5,5,5
742,7,6,6,5,5
743,7,6,6,6,6
744,5,5,5,5,5
745,6,6,5,5,4
746,6,6,6,6,6
747,6,6,6,6,6
748,7,7,6,6,6
749,6,6,6,6,6
750,3,3,2,2,2
751,6,5,5,5,5
752,6,5,5,4,4
753,5,5,5,5,5
754,6,5,5,5,5
755,6,5,5,5,5
756,4,3,3,3,3
757,4,4,4,3,4
758,3,3,3,4,4
759,4,4,4,3,3
760,5,5,5,5,5
761,6,5,5,4,4
762,4,4,3,3,3
763,4,3,4,4,4
764,5,5,5,5,4
765,4,3,3,4,3
766,6,6,6,5,5
767,6,6,5,5,5
768,4,5,5,5,5
769,4,4,3,3,3
770,5,5,5,4,4
771,5,5,5,5,5
772,4,4,3,4,4
773,5,5,4,4,4
774,4,4,3,3,3
775,4,4,4,4,4
776,3,2,2,3,3
777,4,3,3,3,3
778,7,6,6,6,5
779,6,5,5,5,5
780,6,6,5,5,4
781,5,5,5,5,5
782,4,4,4,3,3
783,3,3,3,3,3
784,5,5,5,5,5
785,5,5,5,5,5
786,2,2,1,1,1
787,5,4,4,4,4
788,6,5,5,5,4
789,5,5,4,4,3
790,5,5,4,4,4
791,3,3,3,3,3
792,7,6,6,5,5
793,3,3,3,4,4
794,7,6,6,6,6
795,2,2,2,2,2
796,6,6,5,5,5
797,4,4,4,4,4
798,3,3,3,3,3
799,4,4,4,4,4
800,5,5,4,4,4
801,6,6,6,5,5
802,6,5,5,5,5
803,4,4,3,4,4
804,5,5,4,4,4
805,6,6,6,5,5
806,6,6,6,6,5
807,5,5,5,4,4
808,6,5,5,5,5
809,2,2,2,2,2
810,7,6,6,5,5
811,4,4,4,4,4
812,6,5,5,4,4
813,6,6,6,6,6
814,2,2,2,2,3
815,3,3,3,3,3
816,5,5,5,4,4
817,6,6,5,5,4
818,6,6,6,5,5
819,4,4,3,3,3
820,6,5,6,6,6
821,7,7,6,6,6
822,7,7,6,6,6
823,5,5,5,5,4
824,2,2,2,3,3
825,7,6,6,6,6
826,5,5,4,4,4
827,6,5,5,4,4
828,3,3,3,3,3
829,6,6,5,5,5
830,6,6,6,6,6
831,2,2,2,2,2
832,5,5,5,5,5
833,7,6,5,5,4
834,6,6,5,5,5
835,6,6,6,6,6
836,5,5,5,5,5
837,4,5,5,4,4
838,6,6,5,4,4
839,5,5,4,4,3
840,6,5,5,4,4
841,5,5,4,4,3
842,6,6,5,4,4
843,7,6,6,6,5
844,5,5,5,5,5
845,6,5,5,4,4
846,3,2,3,3,3
847,5,4,4,4,4
848,4,5,5,5,5
849,4,4,3,3,3
850,6,6,6,6,6
851,3,3,3,4,4
852,5,4,4,4,4
853,5,5,5,4,4
854,3,2,3,3,3
855,4,4,3,3,4
856,1,1,1,1,1
857,5,5,4,4,4
858,6,6,5,4,4
859,5,6,6,5,5
860,3,3,3,3,3
861,7,7,6,6,6
862,5,4,4,4,4
863,5,5,4,4,3
864,7,6,5,4,4
865,7,7,6,6,5
866,5,4,4,4,4
867,5,5,4,4,4
868,5,5,5,4,4
869,5,5,5,5,5
870,2,2,2,2,2
871,5,5,5,4,4
872,3,3,3,3,3
873,4,3,3,3,2
874,5,5,5,5,5
875,7,7,6,5,4
876,5,5,5,4,4
877,5,5,5,5,5
878,7,6,6,6,6
879,3,3,4,4,4
880,6,5,5,5,5
881,6,6,6,6,6
882,6,6,6,5,5
883,5,5,4,4,3
884,3,2,2,2,2
885,7,7,6,6,6
886,3,3,3,4,4
887,6,6,6,6,5
888,7,7,6,6,5
889,5,4,4,3,3
890,6,6,6,5,5
891,6,6,6,6,5
892,6,6,6,6,6
893,5,5,4,4,4
894,2,2,2,2,2
895,1,1,1,1,1
896,4,3,3,3,2
897,7,6,6,6,6
898,4,4,3,3,3
899,5,4,4,4,4
900,4,4,4,4,4
901,1,1,2,2,2
902,5,5,4,4,4
903,3,2,2,2,2
904,2,2,2,2,2
905,4,4,5,5,5
906,6,6,5,5,5
907,4,4,4,4,3
908,6,6,6,6,6
909,4,4,3,3,3
910,6,6,5,4,4
911,7,7,6,6,5
912,4,4,4,4,4
913,7,7,6,5,5
914,6,6,5,4,4
915,3,3,2,2,2
916,6,6,5,5,4
917,5,5,4,4,3
918,4,3,3,4,4
919,4,4,3,4,4
920,6,5,5,5,5
921,4,3,3,3,3
922,6,6,5,5,5
923,5,4,4,4,4
924,6,6,5,5,5
925,2,1,1,1,1
926,6,6,5,5,4
927,4,4,4,4,4
928,6,6,6,6,6
929,5,5,4,4,4
930,1,1,1,2,2
931,4,4,4,4,4
932,6,6,5,4,4
933,5,5,4,4,4
934,4,4,4,3,3
935,5,4,5,5,5
936,5,4,4,4,4
937,7,6,6,5,5
938,7,7,6,5,5
939,6,5,5,5,4
940,5,5,5,4,4
941,7,6,6,6,6
942,4,3,3,3,3
943,5,5,5,5,5
944,6,6,6,6,5
945,5,5,5,5,5
946,3,3,3,3,3
947,4,4,3,3,3
948,5,5,5,5,5
949,7,7,6,6,6
950,6,6,5,5,5
951,3,3,3,3,3
952,4,4,3,3,3
953,6,5,5,5,5
954,4,4,4,4,4
955,3,3,2,2,2
956,2,2,3,3,3
957,5,5,4,4,4
958,6,6,6,6,6
959,5,5,5,4,4
960,4,4,4,4,4
961,6,5,4,4,3
962,5,5,4,3,3
963,5,5,5,4,4
964,6,6,5,5,5
965,4,4,3,3,3
966,6,6,6,6,6
967,3,4,4,4,4
968,3,3,3,2,2
969,5,6,5,5,4
970,3,3,3,4,4
971,6,6,5,5,4
972,4,4,4,4,4
973,4,3,3,3,3
974,3,3,3,3,3
975,6,5,5,4,4
976,4,4,4,4,4
977,4,3,3,3,3
978,5,4,4,4,3
979,5,5,5,5,5
980,6,5,4,4,4
981,6,5,5,5,4
982,4,3,4,3,3
983,5,5,5,5,5
984,4,4,3,3,3
985,5,5,4,4,4
986,4,3,3,3,3
987,5,5,5,5,5
988,7,6,6,5,5
989,5,5,5,5,5
990,7,7,6,6,6
991,3,3,3,3,3
992,4,5,5,4,4
993,5,5,5,5,5
994,5,5,5,5,5
995,5,5,4,4,4
996,2,2,2,2,2
997,5,5,5,5,5
998,6,6,5,5,4
999,2,2,2,2,2
