,Student,M1,T1,W1,TH1,F1,M2,T2,W2,TH2,F2,M3,T3,W3,TH3,F3,M4,T4,W4,TH4,F4,M5,T5,W5,TH5,F5,M6,T6,W6,TH6,F6,M7,T7,W7,TH7,F7
36,37,2,3,4,5,6,4,5,6,6,7,5,6,6,7,7,3,4,5,6,7,1,2,3,4,5,1,2,3,4,5,5,4,4,4,5
37,38,4,5,5,6,7,4,5,6,6,7,3,4,5,6,7,3,4,5,6,7,2,3,4,5,6,6,6,6,7,8,8,8,8,8,9
38,39,5,5,5,6,7,5,5,6,6,7,4,5,6,7,7,2,3,4,5,6,5,6,7,7,7,6,6,6,7,8,8,8,9,9,10
39,40,4,5,5,6,7,4,5,6,6,7,3,4,5,6,7,3,4,5,6,7,4,5,6,7,7,5,6,6,7,8,8,8,9,8,10
40,41,5,5,5,6,7,1,2,3,4,5,2,3,4,5,6,4,5,6,7,7,6,7,7,7,7,5,6,6,7,8,7,7,9,8,9
41,42,1,2,3,4,5,4,5,6,6,7,1,2,3,4,5,4,5,6,7,7,2,3,4,5,6,6,6,6,7,8,8,8,8,9,10
42,43,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,1,2,3,4,5,6,7,7,7,7,1,2,3,4,5,4,4,6,5,6
43,44,1,2,3,4,5,3,4,5,6,7,4,5,6,7,7,2,3,4,5,6,6,7,7,7,7,3,4,5,6,7,7,7,8,8,9
44,45,3,4,5,6,7,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,6,7,7,7,7,4,5,6,7,8,8,7,9,9,10
45,46,5,5,5,6,7,3,4,5,6,7,5,6,6,7,7,6,6,7,7,7,3,4,5,6,7,4,5,6,7,8,7,7,8,8,9
46,47,1,2,3,4,5,4,5,6,6,7,1,2,3,4,5,6,6,7,7,7,6,7,7,7,7,4,5,6,7,8,7,8,9,9,10
47,48,1,2,3,4,5,5,5,6,6,7,1,2,3,4,5,3,4,5,6,7,2,3,4,5,6,6,6,6,7,8,8,8,9,9,10
48,49,4,5,5,6,7,5,5,6,6,7,3,4,5,6,7,3,4,5,6,7,6,7,7,7,7,6,6,6,7,8,8,8,9,9,10
49,50,5,5,5,6,7,5,5,6,6,7,3,4,5,6,7,2,3,4,5,6,2,3,4,5,6,3,4,5,6,7,7,7,7,7,8
50,51,5,5,5,6,7,1,2,3,4,5,3,4,5,6,7,2,3,4,5,6,1,2,3,4,5,1,2,3,4,5,5,4,4,4,5
51,52,1,2,3,4,5,2,3,4,5,6,4,5,6,7,7,4,5,6,7,7,2,3,4,5,6,6,6,6,7,8,8,8,8,8,10
52,53,4,5,5,6,7,4,5,6,6,7,5,6,6,7,7,1,2,3,4,5,1,2,3,4,5,5,6,6,7,8,8,8,8,8,9
53,54,1,2,3,4,5,2,3,4,5,6,3,4,5,6,7,5,6,7,7,7,6,7,7,7,7,3,4,5,6,7,6,6,7,7,8
54,55,5,5,5,6,7,3,4,5,6,7,2,3,4,5,6,4,5,6,7,7,5,6,7,7,7,1,2,3,4,5,4,3,4,4,5
55,56,5,5,5,6,7,4,5,6,6,7,5,6,6,7,7,4,5,6,7,7,3,4,5,6,7,6,6,6,7,8,8,8,8,8,9
56,57,4,5,5,6,7,1,2,3,4,5,4,5,6,7,7,2,3,4,5,6,5,6,7,7,7,4,5,6,7,8,8,7,9,8,10
57,58,1,2,3,4,5,1,2,3,4,5,4,5,6,7,7,6,6,7,7,7,1,2,3,4,5,3,4,5,6,7,7,6,7,7,8
58,59,1,2,3,4,5,3,4,5,6,7,2,3,4,5,6,5,6,7,7,7,2,3,4,5,6,5,6,6,7,8,8,8,8,8,10
59,60,3,4,5,6,7,4,5,6,6,7,1,2,3,4,5,6,6,7,7,7,6,7,7,7,7,3,4,5,6,7,6,6,7,7,8
60,61,3,4,5,6,7,1,2,3,4,5,4,5,6,7,7,5,6,7,7,7,1,2,3,4,5,3,4,5,6,7,7,6,6,6,7
61,62,3,4,5,6,7,5,5,6,6,7,1,2,3,4,5,3,4,5,6,7,1,2,3,4,5,1,2,3,4,5,4,4,4,4,5
62,63,3,4,5,6,7,2,3,4,5,6,3,4,5,6,7,3,4,5,6,7,4,5,6,7,7,5,5,6,7,8,8,7,9,8,10
63,64,4,5,5,6,7,5,5,6,6,7,5,6,6,7,7,6,6,7,7,7,4,5,6,7,7,4,5,6,7,8,7,7,8,8,9
64,65,4,5,5,6,7,4,5,6,6,7,5,6,6,7,7,6,6,7,7,7,4,5,6,7,7,1,2,3,4,5,4,4,4,4,5
65,66,4,5,5,6,7,3,4,5,6,7,1,2,3,4,5,6,6,7,7,7,5,6,7,7,7,1,2,3,4,5,4,3,4,4,5
66,67,5,5,5,6,7,1,2,3,4,5,2,3,4,5,6,5,6,7,7,7,5,6,7,7,7,3,4,5,6,7,6,5,7,7,8
67,68,5,5,5,6,7,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,1,2,3,4,5,4,5,6,7,8,8,7,8,8,9
68,69,1,2,3,4,5,4,5,6,6,7,3,4,5,6,7,2,3,4,5,6,1,2,3,4,5,6,6,6,7,8,8,8,9,9,10
69,70,5,5,5,6,7,1,2,3,4,5,4,5,6,7,7,6,6,7,7,7,2,3,4,5,6,3,4,5,6,7,6,6,6,6,7
70,71,2,3,4,5,6,3,4,5,6,7,1,2,3,4,5,1,2,3,4,5,4,5,6,7,7,2,3,4,5,6,5,5,6,6,7
71,72,2,3,4,5,6,3,4,5,6,7,1,2,3,4,5,1,2,3,4,5,5,6,7,7,7,6,6,6,7,8,8,8,9,9,10
72,73,5,5,5,6,7,2,3,4,5,6,4,5,6,7,7,3,4,5,6,7,3,4,5,6,7,1,2,3,4,5,4,4,4,4,5
73,74,4,5,5,6,7,5,5,6,6,7,1,2,3,4,5,3,4,5,6,7,3,4,5,6,7,2,3,4,5,6,5,5,6,6,6
74,75,4,5,5,6,7,2,3,4,5,6,1,2,3,4,5,4,5,6,7,7,2,3,4,5,6,2,3,4,5,6,5,4,5,5,6
75,76,1,2,3,4,5,3,4,5,6,7,5,6,6,7,7,1,2,3,4,5,6,7,7,7,7,2,3,4,5,6,6,6,7,6,7
76,77,5,5,5,6,7,5,5,6,6,7,2,3,4,5,6,6,6,7,7,7,3,4,5,6,7,2,3,4,5,6,5,5,5,5,6
77,78,3,4,5,6,7,1,2,3,4,5,3,4,5,6,7,5,6,7,7,7,3,4,5,6,7,4,5,6,7,8,8,7,8,8,9
78,79,2,3,4,5,6,4,5,6,6,7,4,5,6,7,7,6,6,7,7,7,5,6,7,7,7,5,6,6,7,8,8,8,8,9,10
79,80,5,5,5,6,7,3,4,5,6,7,5,6,6,7,7,2,3,4,5,6,1,2,3,4,5,2,3,4,5,6,6,5,5,5,6
80,81,5,5,5,6,7,2,3,4,5,6,4,5,6,7,7,5,6,7,7,7,1,2,3,4,5,2,3,4,5,6,5,5,5,5,6
81,82,3,4,5,6,7,3,4,5,6,7,3,4,5,6,7,2,3,4,5,6,2,3,4,5,6,5,6,6,7,8,8,8,9,8,10
82,83,3,4,5,6,7,5,5,6,6,7,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,6,6,6,7,8,8,8,8,8,9
83,84,5,5,5,6,7,4,5,6,6,7,2,3,4,5,6,4,5,6,7,7,6,7,7,7,7,6,6,6,7,8,8,7,9,9,10
84,85,2,3,4,5,6,5,5,6,6,7,4,5,6,7,7,3,4,5,6,7,5,6,7,7,7,3,4,5,6,7,7,7,7,8,8
85,86,3,4,5,6,7,5,5,6,6,7,1,2,3,4,5,4,5,6,7,7,5,6,7,7,7,3,4,5,6,7,6,6,7,7,8
86,87,2,3,4,5,6,3,4,5,6,7,2,3,4,5,6,1,2,3,4,5,5,6,7,7,7,1,2,3,4,5,4,4,5,5,6
87,88,3,4,5,6,7,1,2,3,4,5,5,6,6,7,7,2,3,4,5,6,6,7,7,7,7,4,5,6,7,8,8,7,9,8,10
88,89,3,4,5,6,7,1,2,3,4,5,5,6,6,7,7,2,3,4,5,6,2,3,4,5,6,3,4,5,6,7,7,6,7,6,8
89,90,4,5,5,6,7,2,3,4,5,6,4,5,6,7,7,1,2,3,4,5,5,6,7,7,7,2,3,4,5,6,6,5,6,6,7
90,91,5,5,5,6,7,4,5,6,6,7,5,6,6,7,7,1,2,3,4,5,1,2,3,4,5,2,3,4,5,6,6,5,6,5,6
91,92,2,3,4,5,6,1,2,3,4,5,5,6,6,7,7,3,4,5,6,7,1,2,3,4,5,3,4,5,6,7,7,6,7,7,8
92,93,4,5,5,6,7,2,3,4,5,6,4,5,6,7,7,6,6,7,7,7,1,2,3,4,5,2,3,4,5,6,5,5,5,5,6
93,94,4,5,5,6,7,1,2,3,4,5,4,5,6,7,7,1,2,3,4,5,3,4,5,6,7,5,6,6,7,8,8,7,9,8,9
94,95,5,5,5,6,7,2,3,4,5,6,2,3,4,5,6,5,6,7,7,7,6,7,7,7,7,1,2,3,4,5,4,3,4,4,5
95,96,4,5,5,6,7,1,2,3,4,5,5,6,6,7,7,6,6,7,7,7,2,3,4,5,6,6,6,6,7,8,8,7,8,8,9
96,97,3,4,5,6,7,5,5,6,6,7,1,2,3,4,5,5,6,7,7,7,4,5,6,7,7,2,3,4,5,6,5,5,5,6,6
97,98,3,4,5,6,7,1,2,3,4,5,4,5,6,7,7,3,4,5,6,7,4,5,6,7,7,3,4,5,6,7,7,6,7,7,8
98,99,1,2,3,4,5,2,3,4,5,6,4,5,6,7,7,4,5,6,7,7,6,7,7,7,7,2,3,4,5,6,6,5,6,6,7
99,100,5,5,5,6,7,1,2,3,4,5,4,5,6,7,7,1,2,3,4,5,4,5,6,7,7,5,6,6,7,8,8,7,9,8,10
100,101,5,5,5,6,7,2,3,4,5,6,1,2,3,4,5,6,6,7,7,7,4,5,6,7,7,3,4,5,6,7,6,5,7,7,8
101,102,4,5,5,6,7,5,5,6,6,7,5,6,6,7,7,6,6,7,7,7,1,2,3,4,5,2,3,4,5,6,5,5,5,5,6
102,103,2,3,4,5,6,1,2,3,4,5,3,4,5,6,7,4,5,6,7,7,4,5,6,7,7,2,3,4,5,6,6,5,6,5,7
103,104,4,5,5,6,7,3,4,5,6,7,5,6,6,7,7,4,5,6,7,7,3,4,5,6,7,5,6,6,7,8,8,7,8,8,9
104,105,3,4,5,6,7,4,5,6,6,7,4,5,6,7,7,3,4,5,6,7,5,6,7,7,7,5,6,6,7,8,8,8,9,9,10
105,106,4,5,5,6,7,5,5,6,6,7,2,3,4,5,6,3,4,5,6,7,4,5,6,7,7,6,6,6,7,8,8,8,9,9,10
106,107,4,5,5,6,7,5,5,6,6,7,5,6,6,7,7,5,6,7,7,7,5,6,7,7,7,2,3,4,5,6,5,5,5,6,6
107,108,4,5,5,6,7,1,2,3,4,5,1,2,3,4,5,3,4,5,6,7,5,6,7,7,7,6,6,6,7,8,8,7,9,8,10
108,109,2,3,4,5,6,4,5,6,6,7,1,2,3,4,5,5,6,7,7,7,1,2,3,4,5,6,6,6,7,8,8,8,8,8,9
109,110,1,2,3,4,5,2,3,4,5,6,5,6,6,7,7,6,6,7,7,7,6,7,7,7,7,3,4,5,6,7,6,6,7,7,8
110,111,3,4,5,6,7,3,4,5,6,7,5,6,6,7,7,2,3,4,5,6,2,3,4,5,6,1,2,3,4,5,5,4,4,4,5
111,112,1,2,3,4,5,4,5,6,6,7,4,5,6,7,7,1,2,3,4,5,4,5,6,7,7,2,3,4,5,6,6,6,7,6,7
112,113,4,5,5,6,7,2,3,4,5,6,2,3,4,5,6,1,2,3,4,5,5,6,7,7,7,4,5,6,7,8,8,7,9,9,10
113,114,2,3,4,5,6,5,5,6,6,7,4,5,6,7,7,1,2,3,4,5,6,7,7,7,7,1,2,3,4,5,5,5,5,5,6
114,115,5,5,5,6,7,5,5,6,6,7,1,2,3,4,5,5,6,7,7,7,6,7,7,7,7,5,6,6,7,8,7,7,8,9,9
115,116,3,4,5,6,7,4,5,6,6,7,4,5,6,7,7,2,3,4,5,6,1,2,3,4,5,3,4,5,6,7,7,7,7,7,8
116,117,1,2,3,4,5,1,2,3,4,5,3,4,5,6,7,3,4,5,6,7,1,2,3,4,5,5,6,6,7,8,8,8,8,8,10
117,118,1,2,3,4,5,4,5,6,6,7,4,5,6,7,7,6,6,7,7,7,5,6,7,7,7,1,2,3,4,5,4,4,5,5,5
118,119,4,5,5,6,7,3,4,5,6,7,2,3,4,5,6,4,5,6,7,7,2,3,4,5,6,6,6,6,7,8,8,7,8,8,9
119,120,1,2,3,4,5,4,5,6,6,7,2,3,4,5,6,4,5,6,7,7,2,3,4,5,6,1,2,3,4,5,4,4,5,4,5
120,121,5,5,5,6,7,5,5,6,6,7,5,6,6,7,7,3,4,5,6,7,2,3,4,5,6,3,4,5,6,7,7,7,7,7,8
121,122,1,2,3,4,5,5,5,6,6,7,1,2,3,4,5,1,2,3,4,5,5,6,7,7,7,2,3,4,5,6,5,6,7,7,8
122,123,2,3,4,5,6,2,3,4,5,6,3,4,5,6,7,2,3,4,5,6,5,6,7,7,7,4,5,6,7,8,8,8,9,9,10
123,124,5,5,5,6,7,2,3,4,5,6,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,4,5,6,7,8,8,7,8,8,9
124,125,5,5,5,6,7,3,4,5,6,7,1,2,3,4,5,3,4,5,6,7,3,4,5,6,7,4,5,6,7,8,7,7,8,8,9
125,126,3,4,5,6,7,1,2,3,4,5,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,4,5,6,7,8,8,7,8,8,9
126,127,5,5,5,6,7,5,5,6,6,7,4,5,6,7,7,2,3,4,5,6,6,7,7,7,7,4,5,6,7,8,8,8,9,9,10
127,128,2,3,4,5,6,3,4,5,6,7,3,4,5,6,7,4,5,6,7,7,4,5,6,7,7,3,4,5,6,7,7,6,7,7,8
128,129,4,5,5,6,7,5,5,6,6,7,1,2,3,4,5,1,2,3,4,5,3,4,5,6,7,2,3,4,5,6,5,5,6,6,7
129,130,3,4,5,6,7,2,3,4,5,6,2,3,4,5,6,6,6,7,7,7,2,3,4,5,6,2,3,4,5,6,5,4,5,5,6
130,131,3,4,5,6,7,3,4,5,6,7,4,5,6,7,7,1,2,3,4,5,6,7,7,7,7,4,5,6,7,8,8,8,9,9,10
131,132,1,2,3,4,5,5,5,6,6,7,2,3,4,5,6,6,6,7,7,7,5,6,7,7,7,5,6,6,7,8,7,8,9,9,10
132,133,2,3,4,5,6,2,3,4,5,6,3,4,5,6,7,4,5,6,7,7,6,7,7,7,7,2,3,4,5,6,5,5,6,6,7
133,134,2,3,4,5,6,4,5,6,6,7,1,2,3,4,5,6,6,7,7,7,2,3,4,5,6,3,4,5,6,7,6,6,7,7,8
134,135,3,4,5,6,7,5,5,6,6,7,1,2,3,4,5,4,5,6,7,7,6,7,7,7,7,3,4,5,6,7,6,6,7,7,8
135,136,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,4,5,6,7,7,1,2,3,4,5,1,2,3,4,5,4,4,4,4,5
136,137,1,2,3,4,5,4,5,6,6,7,2,3,4,5,6,3,4,5,6,7,4,5,6,7,7,1,2,3,4,5,4,4,5,5,6
137,138,5,5,5,6,7,4,5,6,6,7,1,2,3,4,5,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,4,4,5,4,5
138,139,1,2,3,4,5,2,3,4,5,6,3,4,5,6,7,3,4,5,6,7,4,5,6,7,7,4,5,6,7,8,8,8,9,9,10
139,140,5,5,5,6,7,4,5,6,6,7,5,6,6,7,7,3,4,5,6,7,4,5,6,7,7,2,3,4,5,6,6,5,6,5,6
140,141,5,5,5,6,7,5,5,6,6,7,2,3,4,5,6,1,2,3,4,5,4,5,6,7,7,6,6,6,7,8,8,8,9,9,10
141,142,2,3,4,5,6,1,2,3,4,5,1,2,3,4,5,5,6,7,7,7,5,6,7,7,7,6,6,6,7,8,7,7,8,9,10
142,143,4,5,5,6,7,5,5,6,6,7,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,6,5,6,6,6
143,144,2,3,4,5,6,4,5,6,6,7,2,3,4,5,6,3,4,5,6,7,3,4,5,6,7,6,6,6,7,8,8,8,9,9,10
144,145,5,5,5,6,7,4,5,6,6,7,5,6,6,7,7,5,6,7,7,7,4,5,6,7,7,4,5,6,7,8,7,7,8,8,9
145,146,3,4,5,6,7,5,5,6,6,7,1,2,3,4,5,4,5,6,7,7,3,4,5,6,7,5,5,6,7,8,8,7,8,8,9
146,147,1,2,3,4,5,5,5,6,6,7,4,5,6,7,7,4,5,6,7,7,3,4,5,6,7,5,6,6,7,8,8,8,8,9,10
147,148,4,5,5,6,7,1,2,3,4,5,3,4,5,6,7,2,3,4,5,6,4,5,6,7,7,2,3,4,5,6,6,5,6,5,7
148,149,3,4,5,6,7,4,5,6,6,7,5,6,6,7,7,3,4,5,6,7,5,6,7,7,7,5,6,6,7,8,8,8,9,9,10
149,150,4,5,5,6,7,5,5,6,6,7,2,3,4,5,6,4,5,6,7,7,2,3,4,5,6,1,2,3,4,5,4,4,4,4,5
150,151,2,3,4,5,6,3,4,5,6,7,5,6,6,7,7,6,6,7,7,7,2,3,4,5,6,2,3,4,5,6,5,5,5,5,6
151,152,1,2,3,4,5,5,5,6,6,7,4,5,6,7,7,1,2,3,4,5,3,4,5,6,7,6,6,6,7,8,8,9,9,9,10
152,153,4,5,5,6,7,1,2,3,4,5,4,5,6,7,7,3,4,5,6,7,2,3,4,5,6,2,3,4,5,6,6,5,5,5,6
153,154,5,5,5,6,7,4,5,6,6,7,5,6,6,7,7,1,2,3,4,5,1,2,3,4,5,2,3,4,5,6,6,5,6,5,6
154,155,5,5,5,6,7,2,3,4,5,6,2,3,4,5,6,4,5,6,7,7,3,4,5,6,7,3,4,5,6,7,6,6,7,6,8
155,156,1,2,3,4,5,1,2,3,4,5,4,5,6,7,7,2,3,4,5,6,1,2,3,4,5,4,5,6,7,8,8,8,8,8,10
156,157,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,6,6,7,7,7,4,5,6,7,7,3,4,5,6,7,6,6,7,7,8
157,158,1,2,3,4,5,2,3,4,5,6,4,5,6,7,7,1,2,3,4,5,1,2,3,4,5,6,6,6,7,8,8,8,9,9,10
158,159,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,4,5,6,7,7,3,4,5,6,7,5,6,6,7,8,8,8,8,9,10
159,160,4,5,5,6,7,4,5,6,6,7,5,6,6,7,7,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,5,4,4,4,5
160,161,5,5,5,6,7,3,4,5,6,7,5,6,6,7,7,1,2,3,4,5,2,3,4,5,6,2,3,4,5,6,6,5,6,5,6
161,162,5,5,5,6,7,5,5,6,6,7,2,3,4,5,6,5,6,7,7,7,6,7,7,7,7,6,6,6,7,8,7,7,8,9,9
162,163,1,2,3,4,5,5,5,6,6,7,4,5,6,7,7,2,3,4,5,6,4,5,6,7,7,4,5,6,7,8,8,8,9,9,10
163,164,2,3,4,5,6,2,3,4,5,6,1,2,3,4,5,6,6,7,7,7,6,7,7,7,7,1,2,3,4,5,4,3,5,5,5
164,165,2,3,4,5,6,1,2,3,4,5,5,6,6,7,7,6,6,7,7,7,5,6,7,7,7,4,5,6,7,8,8,7,8,8,9
165,166,4,5,5,6,7,2,3,4,5,6,3,4,5,6,7,1,2,3,4,5,2,3,4,5,6,5,6,6,7,8,8,7,9,8,10
166,167,1,2,3,4,5,4,5,6,6,7,2,3,4,5,6,1,2,3,4,5,3,4,5,6,7,2,3,4,5,6,6,6,7,6,7
167,168,5,5,5,6,7,4,5,6,6,7,5,6,6,7,7,5,6,7,7,7,2,3,4,5,6,4,5,6,7,8,8,7,8,8,9
168,169,1,2,3,4,5,1,2,3,4,5,3,4,5,6,7,6,6,7,7,7,3,4,5,6,7,1,2,3,4,5,4,4,4,4,5
169,170,2,3,4,5,6,5,5,6,6,7,2,3,4,5,6,2,3,4,5,6,4,5,6,7,7,4,5,6,7,8,8,8,9,9,10
170,171,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,6,6,7,7,7,2,3,4,5,6,4,5,6,7,8,7,7,8,8,9
171,172,3,4,5,6,7,1,2,3,4,5,1,2,3,4,5,6,6,7,7,7,5,6,7,7,7,5,6,6,7,8,7,7,8,8,9
172,173,4,5,5,6,7,2,3,4,5,6,1,2,3,4,5,5,6,7,7,7,6,7,7,7,7,3,4,5,6,7,6,5,7,7,8
173,174,1,2,3,4,5,3,4,5,6,7,5,6,6,7,7,6,6,7,7,7,2,3,4,5,6,1,2,3,4,5,4,4,4,4,5
174,175,5,5,5,6,7,3,4,5,6,7,5,6,6,7,7,6,6,7,7,7,1,2,3,4,5,1,2,3,4,5,4,4,4,4,4
175,176,3,4,5,6,7,2,3,4,5,6,1,2,3,4,5,5,6,7,7,7,1,2,3,4,5,3,4,5,6,7,6,6,6,6,7
176,177,4,5,5,6,7,1,2,3,4,5,2,3,4,5,6,5,6,7,7,7,1,2,3,4,5,6,6,6,7,8,8,7,8,8,9
177,178,4,5,5,6,7,2,3,4,5,6,2,3,4,5,6,4,5,6,7,7,5,6,7,7,7,6,6,6,7,8,8,7,8,8,10
178,179,2,3,4,5,6,4,5,6,6,7,3,4,5,6,7,2,3,4,5,6,1,2,3,4,5,2,3,4,5,6,6,6,6,6,7
179,180,5,5,5,6,7,2,3,4,5,6,4,5,6,7,7,6,6,7,7,7,4,5,6,7,7,3,4,5,6,7,6,6,7,7,8
180,181,5,5,5,6,7,5,5,6,6,7,2,3,4,5,6,5,6,7,7,7,5,6,7,7,7,5,6,6,7,8,7,7,8,8,9
181,182,1,2,3,4,5,3,4,5,6,7,4,5,6,7,7,6,6,7,7,7,5,6,7,7,7,2,3,4,5,6,5,5,6,6,7
182,183,5,5,5,6,7,1,2,3,4,5,5,6,6,7,7,1,2,3,4,5,2,3,4,5,6,1,2,3,4,5,5,4,4,4,5
183,184,5,5,5,6,7,1,2,3,4,5,2,3,4,5,6,4,5,6,7,7,3,4,5,6,7,1,2,3,4,5,4,3,4,4,5
184,185,4,5,5,6,7,1,2,3,4,5,2,3,4,5,6,5,6,7,7,7,3,4,5,6,7,6,6,6,7,8,7,7,8,8,9
185,186,4,5,5,6,7,4,5,6,6,7,5,6,6,7,7,2,3,4,5,6,3,4,5,6,7,2,3,4,5,6,6,5,6,5,6
